,time_s,flux,flux_err,delta_t
448173,232814010.0613003,9311.7021484375,32.86021041870117,679.99
448174,232814030.06109253,9242.9736328125,32.77872848510742,20.0
448175,232814070.06067565,9229.5693359375,32.79503631591797,40.0
448176,232814090.0604679,9345.0107421875,32.85855484008789,20.0
448177,232814110.06026006,9247.576171875,32.782649993896484,20.0
448178,232814130.060051,9311.9013671875,32.834930419921875,20.0
448179,232814150.0598432,9217.10546875,32.8127555847168,20.0
448180,232814170.05963546,9236.095703125,32.806427001953125,20.0
448181,232814190.0594276,9349.9833984375,32.878868103027344,20.0
448182,232814210.05921984,9263.435546875,32.80402755737305,20.0
448183,232814230.0590108,9330.3408203125,33.15669250488281,20.0
448184,232814250.05880296,9275.9580078125,32.81642150878906,20.0
448185,232814270.0585952,9183.484375,32.780601501464844,20.0
448186,232814290.05838743,9253.1357421875,32.905059814453125,20.0
448187,232814310.05817962,9355.513671875,32.87831497192383,20.0
448188,232814330.05797055,9226.1328125,32.7965087890625,20.0
448189,232814350.05776283,9260.392578125,32.80685043334961,20.0
448190,232814370.05755496,9281.1279296875,32.82144546508789,20.0
448191,232814390.05734724,9155.3876953125,32.77726745605469,20.0
448192,232814410.05713943,9283.0283203125,32.80976104736328,20.0
448193,232814430.05693036,9311.21484375,32.85079574584961,20.0
448194,232814450.05672258,9183.1640625,32.75962448120117,20.0
448195,232814470.05651483,9214.56640625,32.79709243774414,20.0
448196,232814490.056307,9245.615234375,32.81996536254883,20.0
448197,232814510.0560992,9204.5869140625,32.83479309082031,20.0
448198,232814530.05589145,9304.9609375,32.87688446044922,20.0
448199,232814550.05568358,9267.2021484375,32.80279541015625,20.0
448200,232814590.0552668,9291.603515625,32.86269760131836,40.0
448201,232814610.05505902,9242.6064453125,32.82716369628906,20.0
448202,232814630.0548512,9305.568359375,32.84721374511719,20.0
448203,232814650.05464348,9223.79296875,32.79279327392578,20.0
448204,232814670.05443558,9239.103515625,32.81570816040039,20.0
448205,232814690.05422786,9214.5830078125,32.80598068237305,20.0
448206,232814710.05402005,9218.0390625,32.803077697753906,20.0
448207,232814730.05381098,9300.0068359375,32.86250305175781,20.0
448208,232814830.05277196,9331.140625,32.86199188232422,100.0
448209,232814910.05194074,9270.5048828125,32.82600021362305,80.0
448210,232814950.05152395,9236.1171875,32.83656692504883,40.0
448211,232814970.05131614,9219.1083984375,32.823394775390625,20.0
448212,232814990.05110833,9232.501953125,32.830440521240234,20.0
448213,232815010.0509006,9294.529296875,32.90205764770508,20.0
448214,232815030.0506927,9234.953125,32.83681106567383,20.0
448215,232815050.050485,9320.84765625,32.92100524902344,20.0
448216,232815070.05027717,9254.6220703125,32.84524917602539,20.0
448217,232815090.0500694,9096.1865234375,32.78058624267578,20.0
448218,232815110.0498616,9219.9384765625,32.85674285888672,20.0
448219,232815130.04965386,9202.6875,32.849449157714844,20.0
448220,232815150.049446,9247.7822265625,32.82809066772461,20.0
448221,232815170.04923823,9323.55078125,32.90237045288086,20.0
448222,232815190.04903045,9185.9716796875,32.8050651550293,20.0
448223,232815210.0488226,9155.3525390625,32.80302047729492,20.0
448224,232815230.04861486,9333.9775390625,32.92013931274414,20.0
448225,232815250.04840708,9130.6083984375,32.769508361816406,20.0
448226,232815270.0481993,9313.84765625,32.90608596801758,20.0
448227,232815290.04799148,9322.3818359375,32.88889694213867,20.0
448228,232815310.04778376,9222.3037109375,32.814205169677734,20.0
448229,232815330.04757586,9185.0771484375,32.81040573120117,20.0
448230,232815350.04736814,9305.072265625,32.916866302490234,20.0
448231,232815370.04716033,9338.7080078125,32.91870880126953,20.0
448232,232815390.04695252,9188.205078125,32.8134880065918,20.0
448233,232815410.04674467,9149.8818359375,32.81978988647461,20.0
448234,232815430.04653692,9329.4970703125,32.901344299316406,20.0
448235,232815450.04632914,9201.4013671875,32.81230163574219,20.0
448236,232815470.0461213,9239.8642578125,32.83745574951172,20.0
448237,232815490.04591355,9326.728515625,32.924835205078125,20.0
448238,232815510.04570577,9188.1767578125,32.82161331176758,20.0
448239,232815530.04549795,9226.5986328125,32.864295959472656,20.0
448240,232815550.04529014,9219.634765625,32.8809814453125,20.0
448241,232815570.04508242,9252.751953125,32.888450622558594,20.0
448242,232815590.04487455,9224.927734375,32.87505340576172,20.0
448243,232815650.0442512,9389.4267578125,33.61992645263672,60.0
448244,232815670.04404342,9223.3837890625,32.819190979003906,20.0
448245,232815690.04383567,9068.6796875,32.7615852355957,20.0
448246,232815710.04362783,9263.6943359375,32.908912658691406,20.0
448247,232815730.04342005,9309.4326171875,32.931575775146484,20.0
448248,232815750.04321355,9232.9384765625,32.87702941894531,20.0
448249,232815790.04279792,9270.4794921875,32.896697998046875,40.0
448250,232815810.04259017,9247.0791015625,32.86642837524414,20.0
448251,232815830.04238227,9168.9912109375,32.95246124267578,20.0
448252,232815850.0421745,9199.2001953125,33.72700119018555,20.0
448253,232815870.04196668,9259.015625,32.92488479614258,20.0
448254,232815890.04175887,9134.5732421875,32.81782913208008,20.0
448255,232815910.04155105,9258.6181640625,32.89424133300781,20.0
448256,232815930.04134333,9231.36328125,32.86045455932617,20.0
448257,232815950.0411355,9259.6748046875,32.915061950683594,20.0
448258,232815970.040929,9265.701171875,32.904300689697266,20.0
448259,232815990.04072118,9337.37890625,32.99094009399414,20.0
448260,232816010.04051337,9259.4345703125,32.912147521972656,20.0
448261,232816030.0403056,9216.232421875,32.90658950805664,20.0
448262,232816050.04009783,9226.6611328125,32.86967086791992,20.0
448263,232816070.03989,9295.083984375,32.92599868774414,20.0
448264,232816090.0396822,9246.740234375,33.29795455932617,20.0
448265,232816110.03947446,9314.01953125,32.959259033203125,20.0
448266,232816130.03926787,9295.5634765625,32.91099548339844,20.0
448267,232816150.0390601,9195.935546875,32.904056549072266,20.0
448268,232816170.03885233,9263.419921875,32.93368148803711,20.0
448269,232816190.03864452,9212.9609375,32.88566970825195,20.0
448270,232816210.0384367,9263.177734375,32.89157485961914,20.0
448271,232816230.038229,9209.4013671875,32.8762321472168,20.0
448272,232816250.03802237,9307.58984375,32.94610595703125,20.0
448273,232816270.03781465,9247.62109375,32.91335678100586,20.0
448274,232816290.03760684,9231.5927734375,32.92489242553711,20.0
448275,232816310.03739902,9219.8408203125,32.89304733276367,20.0
448276,232816330.03719127,9261.1796875,32.932559967041016,20.0
448277,232816350.0369835,9295.419921875,32.975765228271484,20.0
448278,232816370.0367769,9280.509765625,32.97290802001953,20.0
448279,232816390.03656915,9278.44140625,32.95741653442383,20.0
448280,232816410.03636137,9289.25,32.96102523803711,20.0
448281,232816430.03615353,9297.8759765625,32.98893356323242,20.0
448282,232816450.03594577,9156.455078125,33.392608642578125,20.0
448283,232816470.03573924,9251.4267578125,32.8955192565918,20.0
448284,232816490.03553143,9290.9423828125,32.98240280151367,20.0
448285,232816510.03532365,9318.5791015625,33.307273864746094,20.0
448286,232816530.0351159,9222.8310546875,32.91463851928711,20.0
448287,232816550.03490803,9175.1357421875,32.9052848815918,20.0
448288,232816570.03470156,9313.05859375,32.995758056640625,20.0
448289,232816590.03449374,9249.0224609375,32.91855239868164,20.0
448290,232816610.03428593,9269.5283203125,32.91511535644531,20.0
448291,232816630.03407818,9309.130859375,32.972713470458984,20.0
448292,232816650.03387168,9261.10546875,32.90699768066406,20.0
448293,232816670.0336638,9309.6572265625,32.981197357177734,20.0
448294,232816710.03324825,9213.4404296875,32.93332290649414,40.0
448295,232816730.03304172,9241.1494140625,32.92979431152344,20.0
448296,232816750.0328339,9282.9423828125,32.95378875732422,20.0
448297,232816770.0326261,9161.3623046875,32.91374206542969,20.0
448298,232816790.03241837,9261.7431640625,32.92732238769531,20.0
448299,232816810.03221172,9211.55078125,32.92384338378906,20.0
448300,232816830.032004,9253.4150390625,32.97333526611328,20.0
448301,232816850.03179616,9187.5078125,32.91924285888672,20.0
448302,232816870.0315883,9253.8408203125,32.935943603515625,20.0
448303,232816890.03138176,9274.38671875,32.96406555175781,20.0
448304,232816910.03117397,9280.4052734375,32.98645782470703,20.0
448305,232816930.03096616,9366.12890625,33.048583984375,20.0
448306,232816950.03075963,9206.3603515625,32.881202697753906,20.0
448307,232816970.03055188,9200.4296875,32.913875579833984,20.0
448308,232816990.03034407,9275.1259765625,32.973167419433594,20.0
448309,232817010.03013626,9254.8125,32.96371841430664,20.0
448310,232817030.02992976,9287.37890625,32.98418045043945,20.0
448311,232817050.02972192,9203.7265625,32.9912109375,20.0
448312,232817070.0295142,9290.0517578125,32.97590255737305,20.0
448313,232817090.02930763,9189.498046875,32.87588119506836,20.0
448314,232817110.02909982,9378.6064453125,33.03446960449219,20.0
448315,232817130.028892,9216.388671875,32.96781921386719,20.0
448316,232817150.02868554,9205.162109375,32.91731643676758,20.0
448317,232817170.0284777,9310.9716796875,32.99462890625,20.0
448318,232817190.02826995,9260.2490234375,32.973297119140625,20.0
448319,232817210.0280634,9325.392578125,33.074798583984375,20.0
448320,232817230.02785558,9337.4609375,33.03908157348633,20.0
448321,232817250.02764782,9213.1162109375,32.936744689941406,20.0
448322,232817270.02744132,9227.44140625,32.90548324584961,20.0
448323,232817290.0272335,9258.2763671875,32.98045349121094,20.0
448324,232817310.0270257,9318.982421875,33.010826110839844,20.0
448325,232817330.0268192,9216.1611328125,32.924598693847656,20.0
448326,232817350.02661136,9235.7998046875,32.97193908691406,20.0
448327,232817370.0264036,9273.8271484375,32.99042510986328,20.0
448328,232817390.02619708,9247.443359375,32.97890853881836,20.0
448329,232817410.02598926,9233.9658203125,32.96304702758789,20.0
448330,232817430.0257827,9244.44921875,32.95831298828125,20.0
448331,232817450.02557498,9241.6826171875,32.98657989501953,20.0
448332,232817470.0253671,9235.0703125,32.94411849975586,20.0
448333,232817490.02516064,9352.0517578125,34.640167236328125,20.0
448334,232817510.02495283,9205.6845703125,32.93644332885742,20.0
448335,232817530.02474627,9267.0234375,32.951419830322266,20.0
448336,232817550.02453852,9228.4345703125,32.92811965942383,20.0
448337,232817570.02433074,9299.7998046875,32.97479248046875,20.0
448338,232817590.02412415,9305.8955078125,32.9791259765625,20.0
448339,232817610.0239164,9238.1318359375,32.9280891418457,20.0
448340,232817630.0237099,9262.0,32.95680236816406,20.0
448341,232817650.02350202,9262.9248046875,32.95125961303711,20.0
448342,232817670.02329427,9226.103515625,32.90768051147461,20.0
448343,232817690.02308777,9248.4521484375,32.97188186645508,20.0
448344,232817710.02287996,9202.78125,32.92533493041992,20.0
448345,232817730.0226734,9264.4482421875,32.9822998046875,20.0
