,time_s,flux,flux_err,delta_t
342964,230418428.78320724,8827.4033203125,33.92619705200195,999.99
342965,230418448.7830396,9081.9033203125,34.079803466796875,20.0
342966,230418468.7828721,9076.4482421875,34.0772590637207,20.0
342967,230418488.78270453,8905.9111328125,33.985313415527344,20.0
342968,230418508.78253445,9035.3349609375,34.108665466308594,20.0
342969,230418568.78203177,8960.466796875,34.037452697753906,60.0
342970,230418588.78186426,9014.6005859375,34.05998611450195,20.0
342971,230418608.78169668,9033.173828125,34.027339935302734,20.0
342972,230418628.7815266,8903.361328125,33.9717903137207,20.0
342973,230418648.78135905,8986.2724609375,33.99660110473633,20.0
342974,230418668.78119153,9007.0986328125,34.045841217041016,20.0
342975,230418688.78102395,8992.0439453125,34.05443572998047,20.0
342976,230418708.78085637,9003.2548828125,34.03561019897461,20.0
342977,230418728.78068885,8976.935546875,34.06455993652344,20.0
342978,230418748.7805212,9053.353515625,34.08900833129883,20.0
342979,230418768.78035372,8975.5068359375,33.99708557128906,20.0
342980,230418788.78018364,8835.015625,33.909278869628906,20.0
342981,230418808.78001606,9021.8291015625,34.0424690246582,20.0
342982,230418828.7798485,9155.951171875,34.16391372680664,20.0
342983,230418848.779681,9031.62890625,34.05449295043945,20.0
342984,230418868.7795134,8968.9423828125,34.01491165161133,20.0
342985,230418888.77934587,8993.744140625,34.04357147216797,20.0
342986,230418908.7791783,8902.40234375,33.97768783569336,20.0
342987,230418928.7790107,8874.126953125,33.97075271606445,20.0
342988,230418948.77884063,9028.576171875,34.05612564086914,20.0
342989,230418968.77867305,9005.203125,34.003047943115234,20.0
342990,230418988.77850556,8951.1826171875,33.976768493652344,20.0
342991,230419008.7783379,8992.0869140625,34.035003662109375,20.0
342992,230419028.7781704,8947.634765625,33.982269287109375,20.0
342993,230419048.77800283,8910.2978515625,34.009010314941406,20.0
342994,230419068.77783528,8919.4677734375,34.000877380371094,20.0
342995,230419088.7776677,8980.0322265625,34.029266357421875,20.0
342996,230419108.7775002,9059.2939453125,34.07630920410156,20.0
342997,230419128.77733007,8933.8466796875,33.98931121826172,20.0
342998,230419148.77716255,8970.220703125,34.00710678100586,20.0
342999,230419168.77699497,9052.349609375,34.046627044677734,20.0
