,time_s,flux,flux_err,delta_t
395308,231600340.4215914,8893.5009765625,32.74443817138672,999.99
395309,231600420.42080048,9011.21484375,32.83700180053711,80.0
395310,231600440.42060274,8876.5322265625,32.75004577636719,20.0
395311,231600460.42040503,8960.8271484375,32.79959487915039,20.0
395312,231600500.42000702,8992.8720703125,32.806400299072266,40.0
395313,231600520.4198093,8940.3134765625,32.766212463378906,20.0
395314,231600540.4196116,8986.3095703125,32.831844329833984,20.0
395315,231600580.4192161,8921.7275390625,32.7470703125,40.0
395316,231600620.41882065,8923.4228515625,32.79169845581055,40.0
395317,231600640.4186229,9068.1298828125,32.91415023803711,20.0
395318,231600660.41842523,8998.158203125,32.847652435302734,20.0
395319,231600680.4182274,8897.447265625,32.73366165161133,20.0
395320,231600700.41802973,8979.12109375,32.80892562866211,20.0
395321,231600720.417832,9008.1162109375,32.869842529296875,20.0
395322,231600740.41763416,8967.76953125,32.83049392700195,20.0
395323,231600760.41743642,8984.861328125,32.81435012817383,20.0
395324,231600780.41723868,9006.33203125,32.8624382019043,20.0
395325,231600800.4170409,9008.0654296875,32.83944320678711,20.0
395326,231600820.4168432,8844.9814453125,32.69059753417969,20.0
395327,231600840.4166455,8978.263671875,32.81334686279297,20.0
395328,231600860.41644776,9036.2841796875,32.87400817871094,20.0
395329,231600880.41625002,8911.6767578125,32.80251693725586,20.0
395330,231600900.4160523,9034.7900390625,32.8726921081543,20.0
395331,231600920.4158545,8890.6845703125,32.76304626464844,20.0
395332,231600940.4156568,9011.9462890625,32.87542724609375,20.0
395333,231600960.4154591,8969.9130859375,32.81894302368164,20.0
395334,231601020.41486594,8919.859375,32.74379348754883,60.0
395335,231601060.41447043,8821.2109375,32.672027587890625,40.0
395336,231601080.4142727,8976.75390625,32.840232849121094,20.0
395337,231601120.41387722,8904.0205078125,32.791221618652344,40.0
395338,231601140.4136795,9069.212890625,32.89921951293945,20.0
395339,231601160.41348174,8889.453125,32.787742614746094,20.0
395340,231601300.41209757,9113.9638671875,32.921661376953125,140.0
395341,231601380.41130668,9001.1201171875,32.87044906616211,80.0
395342,231601440.41071346,9040.349609375,32.850284576416016,60.0
395343,231601460.41051576,8964.1669921875,32.82338333129883,20.0
395344,231601480.41031796,8833.8994140625,32.753108978271484,20.0
395345,231601500.4101203,9092.521484375,32.928062438964844,20.0
395346,231601520.40992254,9053.1845703125,32.924129486083984,20.0
395347,231601540.4097248,8914.353515625,32.78544235229492,20.0
395348,231601560.40952706,9041.5302734375,32.97101974487305,20.0
395349,231601580.40932938,8927.30078125,32.78791809082031,20.0
395350,231601600.4091341,9010.6533203125,32.87881088256836,20.0
395351,231601620.4089364,9033.84765625,32.893775939941406,20.0
395352,231601640.40873867,8952.802734375,32.80437088012695,20.0
395353,231601660.4085409,8917.0107421875,32.78778076171875,20.0
395354,231601680.4083432,9015.2060546875,32.858943939208984,20.0
395355,231601700.4081455,8919.201171875,32.77962875366211,20.0
395356,231601720.40794772,8973.359375,32.88092803955078,20.0
395357,231601760.4075523,8995.8271484375,32.87461853027344,40.0
395358,231601820.4069591,9051.37890625,32.89569854736328,60.0
