,time_s,flux,flux_err,delta_t
395444,231606700.35893345,8962.0517578125,32.92851638793945,1079.99
395445,231606720.35873568,8970.810546875,32.9482307434082,20.0
395446,231606740.35854042,8996.8369140625,32.95512771606445,20.0
395447,231606760.35834518,8971.37109375,32.96525955200195,20.0
395448,231606920.35677585,8929.4658203125,32.915061950683594,160.0
395449,231606940.35657814,9005.1201171875,32.95155715942383,20.0
395450,231606980.3561877,8948.630859375,32.94758605957031,40.0
395451,231607240.3536373,8933.998046875,32.93490219116211,260.0
395452,231607260.353442,9073.7705078125,33.01206588745117,20.0
395453,231607280.35324687,8986.2431640625,32.97896194458008,20.0
395454,231607300.35304913,8906.52734375,32.92705535888672,20.0
395455,231607320.3528539,8956.970703125,32.91848373413086,20.0
395456,231607340.35265866,8946.4443359375,32.94224166870117,20.0
395457,231607360.35246098,8961.1904296875,32.9388313293457,20.0
395458,231607380.35226572,8829.044921875,32.81096649169922,20.0
395459,231607400.3520705,8878.2822265625,32.920204162597656,20.0
395460,231607420.35187277,9062.9912109375,33.04034423828125,20.0
395461,231607440.35167754,8905.939453125,32.90064239501953,20.0
395462,231607460.35148233,9032.0166015625,33.03179168701172,20.0
395463,231607480.35128716,9016.6328125,33.00550842285156,20.0
395464,231607500.35108942,9030.3720703125,33.008323669433594,20.0
395465,231607520.35089418,8834.3154296875,32.86991882324219,20.0
395466,231607540.35069898,9002.806640625,33.00382995605469,20.0
395467,231607560.35050118,8891.7822265625,32.88389587402344,20.0
395468,231607640.3497178,8889.6201171875,32.90775680541992,80.0
395469,231607960.34658426,9075.998046875,33.0397834777832,320.0
395470,231607980.34638903,8931.966796875,32.936988830566406,20.0
395471,231608000.3461938,8992.5,32.955440521240234,20.0
395472,231608020.34599862,8919.6142578125,32.9090576171875,20.0
395473,231608040.3458009,8949.044921875,32.9359245300293,20.0
395474,231608060.34560567,9044.5234375,32.98912048339844,20.0
395475,231608080.34541044,8790.3310546875,32.857357025146484,20.0
395476,231608100.34521523,9066.0029296875,32.992347717285156,20.0
395477,231608120.34501746,8983.8955078125,32.984031677246094,20.0
395478,231608140.3448223,8910.0517578125,32.92512893676758,20.0
395479,231608160.34462705,8857.01953125,32.88740158081055,20.0
