,time_s,flux,flux_err,delta_t
498886,233936019.4854976,9248.4111328125,33.066688537597656,719.99
498887,233936039.4852747,9110.2490234375,32.92499542236328,20.0
498888,233936059.4850518,9122.1982421875,32.9716682434082,20.0
498889,233936079.48482898,9188.0458984375,32.98685073852539,20.0
498890,233936099.48460612,9107.16015625,32.959903717041016,20.0
498891,233936119.48438323,9070.0771484375,32.949337005615234,20.0
498892,233936139.48416033,9133.576171875,33.00434112548828,20.0
498893,233936159.48393747,9263.1279296875,33.23368453979492,20.0
498894,233936179.48371455,9206.494140625,32.98953628540039,20.0
498895,233936199.48349172,9176.720703125,33.05094528198242,20.0
498896,233936219.48326883,9159.7265625,33.01927185058594,20.0
498897,233936239.48304594,9087.2548828125,32.962806701660156,20.0
498898,233936259.482823,9094.951171875,32.94434356689453,20.0
498899,233936279.48260015,9226.3623046875,33.050209045410156,20.0
498900,233936299.4823773,9170.5908203125,33.02440643310547,20.0
498901,233936319.48215437,9152.283203125,33.01707077026367,20.0
498902,233936339.4819315,9098.05078125,32.96974563598633,20.0
498903,233936359.48170865,9215.2646484375,33.03840637207031,20.0
498904,233936379.481487,9107.201171875,32.95480728149414,20.0
498905,233936399.4812641,9059.0458984375,32.972469329833984,20.0
498906,233936419.4810413,9220.1455078125,33.045291900634766,20.0
498907,233936439.48081833,9024.091796875,32.92853927612305,20.0
498908,233936459.48059553,9163.482421875,33.0445556640625,20.0
498909,233936479.48037264,9154.396484375,33.03837966918945,20.0
498910,233936499.48014966,9237.9375,33.08769607543945,20.0
498911,233936519.47992676,9133.4892578125,32.9951171875,20.0
498912,233936539.47970387,9122.103515625,33.03095245361328,20.0
498913,233936559.47948098,9158.3916015625,33.138729095458984,20.0
498914,233936579.47925812,9136.2978515625,33.006534576416016,20.0
498915,233936599.47903526,9218.6181640625,33.12161636352539,20.0
498916,233936619.4788136,9139.0625,33.01710510253906,20.0
498917,233936639.47859073,9134.27734375,33.0319709777832,20.0
498918,233936659.4783679,9227.109375,33.133182525634766,20.0
498919,233936679.47814494,9101.5693359375,33.018310546875,20.0
498920,233936699.4779221,9037.4326171875,32.95063018798828,20.0
498921,233936719.47769925,9200.9306640625,33.07276153564453,20.0
498922,233936739.47747636,9169.7216796875,33.037391662597656,20.0
498923,233936759.47725347,9097.8310546875,33.03230667114258,20.0
498924,233936779.4770319,9088.890625,33.01276779174805,20.0
