,time_s,flux,flux_err,delta_t
396684,231641500.02532747,9053.3076171875,32.965545654296875,2439.98
396685,231641540.0249521,8960.748046875,32.95722579956055,40.0
396686,231641560.02476442,8880.7734375,32.88101577758789,20.0
396687,231641640.0240136,8860.9462890625,32.85610580444336,80.0
396688,231641740.02307525,8989.3134765625,32.923553466796875,100.0
396689,231641780.0227024,8910.7294921875,32.88937759399414,40.0
396690,231641820.02232707,9116.984375,33.05648422241211,40.0
396691,231641840.02213937,8882.9296875,32.89530563354492,20.0
396692,231641860.02195176,8854.7880859375,32.8840446472168,20.0
396693,231641880.02176398,8914.85546875,32.907859802246094,20.0
396694,231641900.02157637,8942.60546875,32.8990478515625,20.0
396695,231641920.02138868,8993.322265625,32.9639892578125,20.0
396696,231641940.021201,8860.23046875,32.86481857299805,20.0
396697,231641960.02101335,8967.115234375,33.14849090576172,20.0
396698,231641980.0208257,8850.904296875,32.86620330810547,20.0
396699,231642000.020638,8915.2119140625,32.9007568359375,20.0
396700,231642020.02045283,8981.2314453125,32.92079544067383,20.0
396701,231642040.02026516,8996.185546875,32.937705993652344,20.0
396702,231642060.02007747,8898.3916015625,32.888427734375,20.0
396703,231642080.0198898,8879.2705078125,32.84657287597656,20.0
396704,231642100.01970217,8949.8662109375,32.93354415893555,20.0
396705,231642120.01951447,8788.2509765625,32.781856536865234,20.0
396706,231642140.01932672,8853.3486328125,32.88923645019531,20.0
396707,231642160.01913908,9018.6357421875,32.93351745605469,20.0
396708,231642180.01895142,8931.5146484375,32.863929748535156,20.0
396709,231642200.01876372,8914.498046875,32.85945129394531,20.0
396710,231642220.01857606,8914.828125,32.87938690185547,20.0
396711,231642240.01839092,8956.6103515625,32.91979217529297,20.0
396712,231642260.0182032,9068.8017578125,32.97930908203125,20.0
396713,231642280.01801553,8865.1748046875,32.81015396118164,20.0
396714,231642300.0178279,8993.5634765625,32.933502197265625,20.0
396715,231642320.01764017,8898.771484375,32.86515808105469,20.0
396716,231642340.0174525,8856.5048828125,32.83652114868164,20.0
396717,231642360.01726487,8837.349609375,32.81748580932617,20.0
396718,231642380.01707718,8971.7880859375,32.92695999145508,20.0
396719,231642840.01277077,8887.875,32.8108024597168,460.0
