,time_s,flux,flux_err,delta_t
1078658,249033223.36904663,7594.99755859375,24.76016616821289,18500.08
1078659,249033243.36914033,7665.80712890625,24.832420349121094,20.0
1078660,249033263.36923409,7673.7548828125,24.839406967163086,20.0
1078661,249033283.3693278,7776.14599609375,24.96357536315918,20.0
1078662,249033303.3694215,7678.09814453125,24.875572204589844,20.0
1078663,249033323.3695153,7680.6708984375,24.87774085998535,20.0
1078664,249033343.36960903,7763.951171875,24.92746353149414,20.0
1078665,249033363.36970276,7698.27001953125,24.866016387939453,20.0
1078666,249033383.3697965,7685.50244140625,24.867050170898438,20.0
1078667,249033403.36989024,7670.1943359375,24.855093002319336,20.0
1078668,249033423.36998525,7744.46630859375,24.922788619995117,20.0
1078669,249033443.37007895,7745.00927734375,24.920827865600586,20.0
1078670,249033463.37017274,7667.35791015625,24.86056137084961,20.0
1078671,249033483.37026638,7739.4375,24.90180778503418,20.0
1078672,249033503.37036017,7702.861328125,24.885189056396484,20.0
1078673,249033523.37045386,7616.55078125,24.80434226989746,20.0
1078674,249033543.37054762,7705.74267578125,24.86159324645996,20.0
1078675,249033563.37064135,7769.4697265625,24.960416793823242,20.0
1078676,249033583.3707351,7606.34765625,24.778013229370117,20.0
1078677,249033603.37082887,7679.59423828125,24.85181999206543,20.0
1078678,249033623.37092257,7718.9345703125,24.91065216064453,20.0
1078679,249033643.37101635,7713.79736328125,24.911380767822266,20.0
1078680,249033663.37111005,7678.67919921875,24.850765228271484,20.0
1078681,249033683.3712038,7659.2646484375,24.976289749145508,20.0
1078682,249033703.3712963,7676.38330078125,24.86391258239746,20.0
1078683,249033723.37138999,7702.4541015625,24.863426208496094,20.0
1078684,249033743.37148383,7685.1162109375,24.849273681640625,20.0
1078685,249033763.37157765,7726.39990234375,24.904436111450195,20.0
1078686,249033783.37167135,7729.8984375,24.917654037475586,20.0
1078687,249033803.3717651,7649.3349609375,24.828327178955078,20.0
1078688,249033823.37185884,7757.0595703125,24.958377838134766,20.0
1078689,249033843.37195128,7673.51025390625,24.843717575073242,20.0
1078690,249033863.37204507,7640.1689453125,24.770566940307617,20.0
1078691,249033883.3721388,7706.91748046875,24.879810333251953,20.0
1078692,249033903.37223253,7680.9697265625,24.84431266784668,20.0
1078693,249033923.37232628,7652.48046875,24.8314266204834,20.0
1078694,249033943.37242,7745.41357421875,24.928647994995117,20.0
1078695,249033963.37251252,7702.55615234375,24.867961883544922,20.0
1078696,249033983.37260622,7725.5634765625,24.887462615966797,20.0
1078697,249034003.3727,7717.49609375,24.906864166259766,20.0
1078698,249034023.3727937,7649.337890625,24.80598258972168,20.0
1078699,249034043.37288746,7654.38671875,24.83742904663086,20.0
