,time_s,flux,flux_err,delta_t
490767,233771061.56463152,9213.2548828125,25.17650604248047,85418.94
490768,233771081.56434834,9109.65234375,25.085391998291016,20.0
490769,233771101.56406385,9177.287109375,25.15313720703125,20.0
490770,233771121.5637806,9113.3994140625,25.09432029724121,20.0
490771,233771141.56349614,9121.83984375,25.12510108947754,20.0
490772,233771161.56321168,9197.2138671875,25.204181671142578,20.0
490773,233771181.5629284,9202.8828125,25.159873962402344,20.0
490774,233771201.56264386,9239.6767578125,25.212100982666016,20.0
490775,233771221.5623594,9087.9462890625,25.075069427490234,20.0
490776,233771241.56207618,9240.4111328125,25.22653579711914,20.0
490777,233771261.5617917,9155.5537109375,25.128217697143555,20.0
490778,233771281.5615072,9152.166015625,25.13996696472168,20.0
490779,233771301.561224,9205.3681640625,25.183429718017578,20.0
490780,233771321.56093946,9256.2041015625,25.229248046875,20.0
490781,233771341.56065628,9136.9462890625,25.111412048339844,20.0
490782,233771361.5603718,9197.501953125,25.16025733947754,20.0
490783,233771381.5600873,9179.3720703125,25.13475799560547,20.0
490784,233771401.55980408,9143.9150390625,25.120119094848633,20.0
490785,233771421.55951962,9118.9267578125,25.095251083374023,20.0
490786,233771441.55923504,9204.08203125,25.176090240478516,20.0
490787,233771461.55895177,9127.7978515625,25.11717987060547,20.0
490788,233771481.5586673,9149.8671875,25.129220962524414,20.0
490789,233771501.55838278,9220.623046875,25.202695846557617,20.0
490790,233771521.55809954,9171.84765625,25.149744033813477,20.0
490791,233771541.55781507,9099.1328125,25.036174774169922,20.0
490792,233771561.55753055,9231.123046875,25.230972290039062,20.0
490793,233771581.55724737,9140.8251953125,25.114166259765625,20.0
490794,233771601.55696288,9179.4697265625,25.164443969726562,20.0
490795,233771621.55667964,9193.3701171875,25.17295265197754,20.0
490796,233771641.55639514,9088.5107421875,25.081920623779297,20.0
490797,233771661.5561107,9200.6884765625,25.178466796875,20.0
490798,233771681.55582744,9117.1669921875,25.08447265625,20.0
490799,233771701.55554298,9193.2705078125,25.206859588623047,20.0
490800,233771721.55525848,9265.12109375,25.24563217163086,20.0
490801,233771741.55497524,9164.30859375,25.133413314819336,20.0
490802,233771761.55469078,9153.3740234375,25.141782760620117,20.0
490803,233771781.55440757,9119.8017578125,25.088848114013672,20.0
490804,233771801.55412307,9177.4912109375,25.12971305847168,20.0
490805,233771821.55383855,9154.2939453125,25.144798278808594,20.0
490806,233771841.55355537,9156.4677734375,25.149812698364258,20.0
490807,233771861.55327082,9195.2216796875,25.19955062866211,20.0
490808,233771881.55298635,9024.8564453125,25.01554298400879,20.0
490809,233771901.55270317,9219.5078125,25.197622299194336,20.0
490810,233771921.55241865,9171.7373046875,25.181882858276367,20.0
490811,233771941.55213416,9140.1953125,25.143169403076172,20.0
490812,233771961.551851,9161.9951171875,25.152414321899414,20.0
490813,233771981.55156642,9162.521484375,25.14109230041504,20.0
490814,233772001.55128324,9148.8759765625,25.165441513061523,20.0
490815,233772021.55099875,9144.5166015625,25.144344329833984,20.0
490816,233772041.55071425,9189.2646484375,25.173307418823242,20.0
