,time_s,flux,flux_err,delta_t
1310021,253821325.55180207,8188.88720703125,35.78622817993164,1200.0
1310022,253821365.5519249,8281.3134765625,35.82846450805664,40.0
1310023,253821385.55198878,8240.4619140625,35.82926559448242,20.0
1310024,253821485.55229566,8212.171875,35.77424621582031,100.0
1310025,253821505.55235696,8211.470703125,35.77581024169922,20.0
1310026,253821525.55241835,8251.44140625,35.817474365234375,20.0
1310027,253821545.5524797,8263.701171875,35.78545379638672,20.0
1310028,253821565.55254105,8297.134765625,35.809879302978516,20.0
1310029,253821585.55260247,8215.3671875,35.76158142089844,20.0
1310030,253821605.5526664,8316.3818359375,35.819026947021484,20.0
1310031,253821625.5527277,8283.634765625,35.78803253173828,20.0
1310032,253821645.55278912,8250.75,35.78525161743164,20.0
1310033,253821665.55285054,8304.6064453125,35.804725646972656,20.0
1310034,253821685.55291188,8250.1064453125,35.73673629760742,20.0
1310035,253821705.55297327,8246.767578125,35.77326583862305,20.0
1310036,253821725.5530372,8310.8271484375,35.80718231201172,20.0
1310037,253821745.55309853,8296.6923828125,35.8013916015625,20.0
1310038,253821765.5531599,8297.796875,35.76087951660156,20.0
1310039,253821785.5532213,8314.2080078125,35.806121826171875,20.0
1310040,253821805.55328262,8248.75390625,35.68656539916992,20.0
1310041,253821825.55334654,8239.5146484375,35.737606048583984,20.0
1310042,253821845.55340794,8214.158203125,35.7000846862793,20.0
1310043,253821865.55346927,8294.181640625,35.77302169799805,20.0
1310044,253821885.5535306,8265.4228515625,35.70722961425781,20.0
1310045,253821905.55359197,8222.1318359375,35.70072555541992,20.0
1310046,253821925.55365586,8229.9228515625,35.719181060791016,20.0
1310047,253821945.55371726,8216.3671875,35.68737030029297,20.0
1310048,253821965.55377868,8246.046875,35.70354080200195,20.0
1310049,253821985.55384,8285.7578125,35.729610443115234,20.0
1310050,253822005.55390143,8198.0986328125,35.696346282958984,20.0
1310051,253822025.55396536,8215.154296875,35.67915344238281,20.0
1310052,253822045.5540267,8203.2216796875,35.64808654785156,20.0
1310053,253822065.5540881,8216.9326171875,35.64398956298828,20.0
1310054,253822085.5541495,8283.201171875,35.709205627441406,20.0
1310055,253822105.55421084,8280.2236328125,35.70732116699219,20.0
1310056,253822125.5542747,8205.171875,35.66575622558594,20.0
1310057,253822145.55433604,8198.955078125,35.62593078613281,20.0
1310058,253822165.55439743,8386.4853515625,35.740196228027344,20.0
1310059,253822545.55557612,8304.0,35.62853240966797,380.0
1310060,253822565.55564004,8251.369140625,35.589508056640625,20.0
1310061,253822585.5557014,8333.2177734375,35.62992858886719,20.0
1310062,253822605.55576274,8210.9560546875,35.53969192504883,20.0
1310063,253822625.5558266,8213.44140625,35.55205154418945,20.0
1310064,253822645.55588797,8364.73046875,35.62462615966797,20.0
1310065,253822665.55594933,8312.7412109375,35.60759735107422,20.0
1310066,253822685.55601326,8171.44580078125,35.500144958496094,20.0
1310067,253822705.55607462,8264.150390625,35.53898620605469,20.0
1310068,253822725.55613604,8312.21875,35.600650787353516,20.0
1310069,253822745.55619746,8361.9345703125,35.60406494140625,20.0
1310070,253822765.55626133,8171.96337890625,35.497005462646484,20.0
1310071,253822785.55632275,8263.5263671875,35.52164840698242,20.0
1310072,253822805.55638412,8232.9990234375,35.50913619995117,20.0
1310073,253822825.556448,8268.5263671875,35.513099670410156,20.0
1310074,253822845.55650935,8289.8525390625,35.52653121948242,20.0
1310075,253822865.55657068,8288.3779296875,35.54192352294922,20.0
1310076,253822885.55663455,8229.880859375,35.468257904052734,20.0
1310077,253822905.55669597,8232.1796875,35.5145149230957,20.0
1310078,253822925.5567599,8295.3837890625,35.536258697509766,20.0
1310079,253822945.55682123,8273.5302734375,35.51605987548828,20.0
1310080,253822965.5568826,8256.046875,35.46290969848633,20.0
1310081,253822985.55694643,8166.1923828125,35.43252944946289,20.0
1310082,253823005.55700776,8211.5771484375,35.4316520690918,20.0
1310083,253823025.5570717,8327.7158203125,35.51810073852539,20.0
