,time_s,flux,flux_err,delta_t
230536,227952438.97026414,7695.00146484375,32.61305236816406,620.0
230537,227952458.97017974,7759.333984375,32.6716194152832,20.0
230538,227952478.97009036,7691.9892578125,32.59022903442383,20.0
230539,227952558.96974775,7718.16064453125,32.59036636352539,80.0
230540,227952578.96966332,7830.982421875,32.68033981323242,20.0
230541,227952598.96957394,7672.67822265625,32.598167419433594,20.0
230542,227952658.96931577,7698.52978515625,32.541908264160156,60.0
230543,227952678.9692313,7700.2421875,32.57533645629883,20.0
230544,227952698.96914187,7642.09814453125,32.53115463256836,20.0
230545,227952718.9690575,7700.75830078125,32.573219299316406,20.0
230546,227952738.96897307,7626.2265625,32.52451705932617,20.0
230547,227952758.9688837,7646.75830078125,32.5042839050293,20.0
230548,227952798.96871492,7709.09716796875,32.573631286621094,40.0
230549,227952818.96862552,7704.29443359375,32.611698150634766,20.0
230550,227952838.96854115,7786.08642578125,32.613548278808594,20.0
230551,227952878.96836737,7698.5693359375,32.538883209228516,40.0
230552,227952898.96828297,7737.1005859375,32.577430725097656,20.0
230553,227952918.96819854,7723.30029296875,32.563358306884766,20.0
230554,227952938.96810907,7699.78857421875,32.553043365478516,20.0
230555,227952958.96802473,7791.26416015625,32.58499526977539,20.0
230556,227952978.96794033,7723.35791015625,32.494285583496094,20.0
230557,227952998.9678509,7707.7890625,32.499542236328125,20.0
230558,227953038.9676821,7692.73046875,32.47100830078125,40.0
230559,227953058.96759263,7731.26318359375,32.492454528808594,20.0
230560,227953078.9675083,7729.28955078125,32.51331329345703,20.0
230561,227953098.9674239,7677.37353515625,32.480743408203125,20.0
230562,227953118.96733448,7704.52099609375,32.4573974609375,20.0
230563,227953138.9672501,7737.298828125,32.522090911865234,20.0
230564,227953158.9671657,7684.404296875,32.46009063720703,20.0
230565,227953178.96707624,7781.43408203125,32.52992248535156,20.0
230566,227953198.9669918,7803.125,32.47980499267578,20.0
230567,227953218.9669074,7676.93408203125,32.48967361450195,20.0
230568,227953238.96681803,7673.39404296875,32.45397186279297,20.0
230569,227953258.96673366,7693.95458984375,32.45419692993164,20.0
230570,227953278.9666493,7766.6865234375,32.80589294433594,20.0
230571,227953298.96655983,7756.3203125,32.498077392578125,20.0
230572,227953318.96647534,7723.80615234375,32.443660736083984,20.0
230573,227953338.966391,7690.1982421875,32.41839599609375,20.0
230574,227953358.9663016,7662.3818359375,32.3951301574707,20.0
230575,227953378.96621722,7698.61572265625,32.4281005859375,20.0
230576,227953398.96613282,7724.55712890625,32.44643020629883,20.0
230577,227953418.9660434,7673.68115234375,32.4099006652832,20.0
230578,227953458.96587467,7682.63818359375,32.38652038574219,40.0
230579,227953478.96578524,7752.70361328125,32.42531204223633,20.0
230580,227953498.9657009,7702.53466796875,32.410640716552734,20.0
230581,227953518.96561652,7668.646484375,32.35737609863281,20.0
230582,227953538.96553206,7622.34765625,32.344337463378906,20.0
230583,227953558.9654426,7777.1142578125,32.435916900634766,20.0
230584,227953578.9653582,7756.5595703125,32.43539047241211,20.0
230585,227953598.96527386,7688.55126953125,32.36943054199219,20.0
230586,227953618.96518445,7693.4130859375,32.33225631713867,20.0
230587,227953638.96510005,7611.2001953125,32.296085357666016,20.0
230588,227953658.96501562,7761.154296875,32.4339714050293,20.0
230589,227953678.96492615,7723.5146484375,32.37269973754883,20.0
230590,227953698.96484178,7739.5927734375,32.388328552246094,20.0
230591,227953718.9647574,7677.51025390625,32.330406188964844,20.0
230592,227953738.964673,7699.15869140625,32.34920120239258,20.0
230593,227953758.9645836,7807.6806640625,32.44776916503906,20.0
230594,227953778.96449915,7760.025390625,32.371192932128906,20.0
230595,227953798.96441472,7719.56201171875,32.357032775878906,20.0
230596,227953838.96424097,7708.91162109375,32.35456466674805,40.0
230597,227953858.9641566,7728.341796875,32.35235595703125,20.0
230598,227953878.9640722,7698.03759765625,32.29705047607422,20.0
230599,227953898.9639828,7675.0537109375,32.28126525878906,20.0
230600,227953918.96389836,7652.6640625,32.25810623168945,20.0
230601,227953938.96381393,7688.19921875,32.29839324951172,20.0
230602,227953958.96372452,7774.650390625,32.36932373046875,20.0
230603,227953978.96364012,7553.78173828125,32.18815994262695,20.0
230604,227953998.96355575,7699.0654296875,32.31455612182617,20.0
230605,227954018.9634714,7718.26318359375,32.30988311767578,20.0
230606,227954038.96338195,7738.99755859375,32.31681442260742,20.0
230607,227954058.96329755,7788.65625,32.359642028808594,20.0
230608,227954078.96321324,7759.67822265625,32.35245895385742,20.0
230609,227954098.9631238,7693.6103515625,32.24629211425781,20.0
230610,227954118.9630394,7705.05517578125,32.2467155456543,20.0
230611,227954138.96295506,7721.18359375,32.28053283691406,20.0
230612,227954158.96287063,7708.1982421875,32.30989074707031,20.0
230613,227954198.9626968,7722.5703125,32.287391662597656,40.0
230614,227954218.9626124,7790.57373046875,32.32807159423828,20.0
230615,227954238.962528,7667.322265625,32.229576110839844,20.0
230616,227954258.9624386,7703.51171875,32.26533126831055,20.0
230617,227954278.96235418,7595.64404296875,32.14570999145508,20.0
230618,227954298.96226975,7851.13330078125,32.36288833618164,20.0
230619,227954318.96218535,7653.3388671875,32.19694519042969,20.0
230620,227954338.96209592,7680.08056640625,32.22880172729492,20.0
230621,227954358.96201158,7722.4541015625,32.232421875,20.0
230622,227954378.9619272,7591.431640625,32.14945602416992,20.0
230623,227954398.96184278,7707.88916015625,32.22827911376953,20.0
230624,227954418.9617533,7652.0673828125,32.20994567871094,20.0
230625,227954438.9616689,7686.9404296875,32.19582748413086,20.0
230626,227954458.96158454,7714.8603515625,32.23221206665039,20.0
230627,227954478.96150017,7746.8837890625,32.25218963623047,20.0
230628,227954498.96141073,7669.48291015625,32.16484832763672,20.0
230629,227954518.9613263,7607.62841796875,32.136627197265625,20.0
230630,227954538.96124187,7744.2998046875,32.26454162597656,20.0
230631,227954558.96115747,7687.1103515625,32.180973052978516,20.0
230632,227954578.9610681,7646.80810546875,32.145259857177734,20.0
230633,227954598.96098372,7595.6494140625,32.10880661010742,20.0
230634,227954618.96089935,7905.66845703125,32.35978698730469,20.0
230635,227954638.96081495,7731.7587890625,32.21995544433594,20.0
230636,227954658.9607255,7774.45166015625,32.26424026489258,20.0
230637,227954678.96064112,7671.052734375,32.15936279296875,20.0
230638,227954738.96038303,7750.97314453125,32.154083251953125,60.0
230639,227954758.96029863,7688.71923828125,32.18990707397461,20.0
230640,227954778.9602142,7651.048828125,32.131507873535156,20.0
230641,227954798.96012977,7637.27099609375,32.11709213256836,20.0
230642,227954818.96004537,7564.91552734375,32.06797409057617,20.0
230643,227954838.959956,7775.1796875,32.19548034667969,20.0
230644,227954858.9598716,7674.08837890625,32.13621139526367,20.0
230645,227954878.9597872,7725.21484375,32.14302062988281,20.0
230646,227954898.95970276,7780.89794921875,32.18798828125,20.0
230647,227954918.9596133,7655.267578125,32.08953094482422,20.0
230648,227954938.95952892,7586.28955078125,32.020957946777344,20.0
230649,227954958.95944458,7674.7890625,32.111907958984375,20.0
230650,227954978.95936018,7690.1064453125,32.12675094604492,20.0
230651,227954998.95927578,7759.27490234375,32.12886428833008,20.0
230652,227955018.95918632,7698.2392578125,32.087032318115234,20.0
230653,227955038.9591019,7717.1884765625,32.1161994934082,20.0
230654,227955058.95901754,7727.37939453125,32.14328384399414,20.0
230655,227955078.95893314,7700.45751953125,32.080936431884766,20.0
230656,227955098.9588437,7735.3994140625,32.1375846862793,20.0
230657,227955118.95875937,7683.55419921875,32.095096588134766,20.0
230658,227955138.9586749,7722.9775390625,32.11079406738281,20.0
230659,227955158.95859048,7698.3828125,32.0809211730957,20.0
230660,227955178.95850614,7713.95458984375,32.09375762939453,20.0
230661,227955198.9584167,7711.22021484375,32.07734298706055,20.0
230662,227955218.9583323,7712.34228515625,32.07740020751953,20.0
230663,227955238.95824796,7704.12548828125,32.07813262939453,20.0
230664,227955258.95816353,7769.12890625,32.1188850402832,20.0
230665,227955278.95807907,7630.07421875,32.01205825805664,20.0
230666,227955298.9579897,7690.96435546875,32.06013107299805,20.0
230667,227955318.9579054,7720.9775390625,32.06892776489258,20.0
230668,227955338.957821,7782.322265625,32.12953567504883,20.0
230669,227955358.95773664,7678.701171875,32.0458984375,20.0
230670,227955378.95765227,7637.6240234375,32.01008987426758,20.0
230671,227955398.9575628,7708.1669921875,32.07727813720703,20.0
230672,227955418.95747837,7748.71142578125,32.0778923034668,20.0
230673,227955438.95739397,7670.1396484375,32.012977600097656,20.0
230674,227955458.95730957,7702.701171875,32.012969970703125,20.0
230675,227955478.95722523,7737.33349609375,32.07070541381836,20.0
230676,227955498.95713583,7758.10546875,32.02507781982422,20.0
230677,227955518.9570514,7574.865234375,31.941604614257812,20.0
230678,227955538.95696697,7703.552734375,32.03908157348633,20.0
230679,227955558.95688257,7765.18798828125,32.045928955078125,20.0
230680,227955578.95679817,7724.6904296875,32.04220962524414,20.0
230681,227955598.95671383,7674.7109375,31.981416702270508,20.0
230682,227955618.9566244,7758.9345703125,32.31673812866211,20.0
230683,227955638.95653996,7716.0859375,32.050819396972656,20.0
230684,227955658.95645553,7615.052734375,31.937820434570312,20.0
230685,227955678.95637113,7804.97314453125,32.08705520629883,20.0
230686,227955698.9562868,7713.0302734375,32.01823425292969,20.0
230687,227955718.95619738,7727.392578125,32.0184440612793,20.0
230688,227955738.956113,7737.60986328125,31.96819496154785,20.0
230689,227955758.95602855,7694.4033203125,31.932931900024414,20.0
