,time_s,flux,flux_err,delta_t
441118,232670671.714392,9337.619140625,29.122278213500977,124118.55
441119,232670691.71413392,9276.1611328125,28.994680404663086,20.0
441120,232670711.7138758,9365.091796875,29.10995101928711,20.0
441121,232670731.71361527,9351.173828125,29.076738357543945,20.0
441122,232670751.7133571,9312.7490234375,29.063596725463867,20.0
441123,232670771.71309656,9418.017578125,29.155792236328125,20.0
441124,232670791.71283847,9310.615234375,29.07913589477539,20.0
441125,232670811.71258038,9288.71484375,29.06639289855957,20.0
441126,232670831.71231973,9183.7138671875,29.02062225341797,20.0
441127,232670851.71206167,9369.0439453125,29.15532875061035,20.0
441128,232670871.71180362,9330.6767578125,29.124435424804688,20.0
441129,232670891.71154296,9349.37109375,29.133365631103516,20.0
441130,232670911.7112849,9296.6259765625,29.063806533813477,20.0
441131,232670931.71102685,9356.0810546875,29.164718627929688,20.0
441132,232670951.71076623,9300.447265625,29.17253303527832,20.0
441133,232670971.71050814,9288.2216796875,29.08542251586914,20.0
441134,232670991.7102501,9274.9775390625,29.08067512512207,20.0
441135,232671011.70998943,9340.55859375,29.12241554260254,20.0
441136,232671031.7097314,9317.736328125,29.1395206451416,20.0
441137,232671051.7094733,9331.935546875,29.136808395385742,20.0
441138,232671071.7092127,9311.564453125,29.122880935668945,20.0
441139,232671091.70895463,9323.8134765625,29.153013229370117,20.0
441140,232671111.70869657,9319.18359375,29.1314640045166,20.0
441141,232671131.70843846,9196.1494140625,29.048751831054688,20.0
441142,232671151.70817786,9262.033203125,29.11516571044922,20.0
441143,232671171.7079198,9381.291015625,29.180683135986328,20.0
441144,232671191.7076617,9360.6044921875,29.203065872192383,20.0
441145,232671211.7074011,9391.0595703125,29.211360931396484,20.0
441146,232671231.70714304,9347.28125,29.17226791381836,20.0
441147,232671251.70688495,9235.5283203125,29.107717514038086,20.0
441148,232671271.70662686,9384.6787109375,29.227766036987305,20.0
441149,232671291.7063663,9308.9345703125,29.158769607543945,20.0
441150,232671311.70610815,9356.140625,29.21133041381836,20.0
441151,232671331.70585012,9309.45703125,29.157529830932617,20.0
441152,232671351.7055895,9335.75,29.203466415405273,20.0
441153,232671371.70533141,9304.6669921875,29.197978973388672,20.0
441154,232671391.70507336,9406.650390625,29.23343276977539,20.0
441155,232671411.7048153,9331.787109375,29.19038963317871,20.0
441156,232671431.70455465,9309.7294921875,29.19450569152832,20.0
441157,232671451.7042966,9300.5,29.1817684173584,20.0
441158,232671471.70403853,9300.9150390625,29.19996452331543,20.0
441159,232671491.70378038,9300.421875,29.178672790527344,20.0
441160,232671511.70351982,9292.0625,29.193464279174805,20.0
441161,232671531.70326176,9284.1953125,29.184005737304688,20.0
441162,232671551.70300367,9323.875,29.222196578979492,20.0
441163,232671571.70274556,9260.27734375,29.17578125,20.0
441164,232671591.7024875,9295.095703125,29.253068923950195,20.0
441165,232671611.70222682,9320.740234375,29.311222076416016,20.0
441166,232671631.70196867,9327.4140625,29.22203826904297,20.0
441167,232671651.70171067,9441.1748046875,29.3554630279541,20.0
441168,232671671.7014525,9323.6611328125,29.208608627319336,20.0
