,time_s,flux,flux_err,delta_t
144863,209630734.0824578,8889.59765625,26.30547332763672,860.0
144864,209630754.08239272,8828.0,26.241710662841797,20.0
144865,209630774.08233264,8880.5390625,26.279531478881836,20.0
144866,209630794.08226755,8802.2080078125,26.25572967529297,20.0
144867,209630814.08220747,8796.4462890625,26.21894645690918,20.0
144868,209630834.08214235,8869.470703125,26.28946876525879,20.0
144869,209630854.08208224,8887.4853515625,26.524097442626953,20.0
144870,209630874.0820171,8807.0,26.231773376464844,20.0
144871,209630894.081957,8927.4375,26.331981658935547,20.0
144872,209630914.08189192,8792.0439453125,26.2098331451416,20.0
144873,209630934.08183184,8779.3408203125,26.20242691040039,20.0
144874,209630954.08176675,8811.447265625,26.23784828186035,20.0
144875,209630974.0817067,8910.2119140625,26.297523498535156,20.0
144876,209630994.0816416,8762.404296875,26.202436447143555,20.0
144877,209631014.08158153,8838.953125,26.26332664489746,20.0
144878,209631034.08151647,8775.7353515625,26.187273025512695,20.0
144879,209631054.0814564,8757.630859375,26.19333267211914,20.0
144880,209631074.08139127,8774.44921875,26.229177474975586,20.0
144881,209631094.08133122,8922.6669921875,26.359586715698242,20.0
144882,209631114.0812661,8957.7353515625,26.34292221069336,20.0
144883,209631134.081206,8819.732421875,26.21940803527832,20.0
144884,209631154.08114085,8830.8916015625,26.287647247314453,20.0
144885,209631174.08108076,8713.431640625,26.165000915527344,20.0
144886,209631194.08101568,8774.0859375,26.182872772216797,20.0
144887,209631214.0809556,8873.2490234375,26.228281021118164,20.0
144888,209631234.08089048,8906.36328125,26.32476234436035,20.0
144889,209631254.08083045,8770.228515625,26.183197021484375,20.0
144890,209631274.08076534,8883.9619140625,26.30142593383789,20.0
144891,209631294.08070529,8773.7998046875,26.201152801513672,20.0
144892,209631314.08064017,8748.626953125,26.172088623046875,20.0
144893,209631334.08058015,8848.083984375,26.26312828063965,20.0
144894,209631354.08051497,8937.275390625,26.343740463256836,20.0
144895,209631374.08045483,8859.224609375,26.301265716552734,20.0
144896,209631394.08038974,8859.1279296875,26.257648468017578,20.0
144897,209631414.0803297,8784.4423828125,26.241954803466797,20.0
144898,209631434.0802646,8752.2763671875,26.170480728149414,20.0
144899,209631454.08020452,8808.568359375,26.247817993164062,20.0
144900,209631474.08013943,8829.306640625,26.237022399902344,20.0
144901,209631494.08007935,8969.2109375,26.420766830444336,20.0
144902,209631514.08001423,8772.8017578125,26.181835174560547,20.0
144903,209631534.07995415,8778.1181640625,26.182811737060547,20.0
144904,209631554.079894,8784.1494140625,26.210908889770508,20.0
144905,209631574.07982892,8788.6962890625,26.183521270751953,20.0
144906,209631594.07976884,8885.8310546875,26.300268173217773,20.0
144907,209631614.07970372,8859.150390625,26.291383743286133,20.0
144908,209631634.0796437,8936.2314453125,26.336820602416992,20.0
144909,209631654.07957858,8865.982421875,26.290517807006836,20.0
144910,209631674.0795185,8802.599609375,26.19821548461914,20.0
144911,209631694.0794534,8776.189453125,26.186492919921875,20.0
144912,209631714.07939336,8841.8974609375,26.36756706237793,20.0
144913,209631734.07932827,8842.5263671875,26.246078491210938,20.0
144914,209631754.0792682,8933.9169921875,26.335704803466797,20.0
144915,209631774.0792031,8812.1767578125,26.218936920166016,20.0
144916,209631794.07914302,8882.2138671875,26.287511825561523,20.0
144917,209631814.07907796,8756.5458984375,26.17357063293457,20.0
144918,209631834.07901788,8789.142578125,26.208356857299805,20.0
144919,209631854.07895273,8828.755859375,26.237722396850586,20.0
144920,209631874.0788926,8959.7978515625,26.40027618408203,20.0
144921,209631894.07882747,8845.40234375,26.219207763671875,20.0
144922,209631914.07876745,8780.3671875,26.16954231262207,20.0
