,time_s,flux,flux_err,delta_t
395362,231603680.38861522,8969.51171875,32.90755844116211,919.99
395363,231603720.38822225,8921.9013671875,32.86391067504883,40.0
395364,231603760.38782662,8986.046875,32.91069030761719,40.0
395365,231603780.38763145,8879.01953125,32.8547477722168,20.0
395366,231603800.38743368,9118.1787109375,33.01618576049805,20.0
395367,231603820.38723594,9023.2255859375,32.9517822265625,20.0
395368,231603880.38664526,8972.076171875,32.863948822021484,60.0
395369,231603960.3858594,8887.314453125,32.861610412597656,80.0
395370,231603980.38566157,8932.55859375,32.87850570678711,20.0
395371,231604000.38546392,8972.212890625,32.9253044128418,20.0
395372,231604020.3852687,8959.0478515625,32.867645263671875,20.0
395373,231604040.38507092,8960.6572265625,32.91006088256836,20.0
395374,231604060.3848732,9024.765625,32.91249084472656,20.0
395375,231604100.38448024,8796.6962890625,32.7705078125,40.0
395376,231604120.38428253,9069.1650390625,32.99900436401367,20.0
395377,231604140.38408735,9007.8857421875,33.78785705566406,20.0
395378,231604180.38369185,9070.7958984375,32.98518371582031,40.0
395379,231604340.38211754,8875.6328125,32.83393478393555,160.0
395380,231604360.38192233,8952.947265625,32.89251708984375,20.0
395381,231604380.38172463,9067.5888671875,32.959407806396484,20.0
395382,231604400.38152683,9048.4599609375,32.908695220947266,20.0
395383,231604420.38133165,9000.611328125,32.91266632080078,20.0
395384,231604440.38113394,8827.767578125,32.77798843383789,20.0
395385,231604460.38093615,9071.7333984375,32.9689826965332,20.0
395386,231604480.38074094,8931.0546875,32.90447998046875,20.0
395387,231604500.38054323,8849.1171875,32.8419189453125,20.0
395388,231604520.38034803,8822.0458984375,32.81412887573242,20.0
395389,231604540.38015026,9123.3759765625,33.04664993286133,20.0
395390,231604560.3799526,8931.365234375,32.86210632324219,20.0
395391,231604580.3797573,8924.197265625,32.869449615478516,20.0
395392,231604600.3795596,8944.375,32.878353118896484,20.0
395393,231604620.37936187,8963.8974609375,32.90215301513672,20.0
395394,231604640.37916663,9079.8251953125,32.99538040161133,20.0
395395,231604660.3789689,8945.59765625,32.847618103027344,20.0
395396,231604680.37877372,8929.927734375,32.86998748779297,20.0
395397,231604700.37857595,8994.376953125,32.92805480957031,20.0
395398,231604720.37837824,8971.28125,32.89179992675781,20.0
395399,231604740.378183,8890.4052734375,32.85454177856445,20.0
395400,231604760.37798527,8924.70703125,32.883148193359375,20.0
395401,231604780.37779006,9054.83203125,32.969207763671875,20.0
395402,231604800.37759236,9021.04296875,32.92148208618164,20.0
395403,231604820.37739712,8973.560546875,32.92683792114258,20.0
395404,231604840.37719938,8801.0380859375,32.790611267089844,20.0
395405,231604860.37700167,9009.810546875,32.96329116821289,20.0
395406,231604880.37680638,9010.029296875,32.949127197265625,20.0
395407,231604900.37660873,8902.4140625,32.92332077026367,20.0
395408,231604920.3764135,8986.4130859375,32.931514739990234,20.0
395409,231604940.37621573,8974.0576171875,32.93513870239258,20.0
395410,231604960.37602052,9000.4609375,32.951026916503906,20.0
395411,231604980.37582284,8964.423828125,32.91816329956055,20.0
395412,231605000.37562504,8833.7529296875,32.825687408447266,20.0
395413,231605020.37542978,8888.9921875,32.85832595825195,20.0
395414,231605040.37523207,9017.4267578125,32.96091842651367,20.0
395415,231605060.37503687,9007.66015625,32.9315299987793,20.0
395416,231605080.37483913,8950.3173828125,32.87875747680664,20.0
395417,231605100.3746439,8893.333984375,32.857994079589844,20.0
395418,231605120.3744462,8921.19921875,32.85048294067383,20.0
395419,231605140.37425092,9055.3896484375,32.99193572998047,20.0
395420,231605160.37405324,8931.3720703125,32.89491271972656,20.0
395421,231605180.3738555,9005.2958984375,32.933807373046875,20.0
395422,231605200.37366027,8962.375,32.91633987426758,20.0
395423,231605220.37346256,8794.357421875,32.77630615234375,20.0
395424,231605240.37326735,8939.7607421875,32.89207458496094,20.0
395425,231605260.37306958,9025.7607421875,32.915382385253906,20.0
395426,231605280.37287438,9017.81640625,32.95052719116211,20.0
395427,231605300.37267667,8976.0810546875,32.916996002197266,20.0
395428,231605320.3724814,8973.6123046875,32.93409729003906,20.0
395429,231605340.3722837,8901.9150390625,32.87321090698242,20.0
395430,231605360.3720885,8964.2509765625,32.93009948730469,20.0
395431,231605380.37189075,9020.2119140625,32.93619918823242,20.0
395432,231605400.37169552,8975.4326171875,32.90106964111328,20.0
395433,231605420.37149784,8911.150390625,32.868988037109375,20.0
395434,231605440.37130255,8985.458984375,32.96406173706055,20.0
395435,231605460.37110487,8863.9482421875,32.84565734863281,20.0
395436,231605480.37090963,9001.3095703125,32.94459915161133,20.0
395437,231605500.3707119,9072.0703125,33.02763366699219,20.0
395438,231605520.37051666,9086.9384765625,33.08625030517578,20.0
395439,231605540.37031898,8872.4033203125,32.79502487182617,20.0
395440,231605560.3701237,8890.4296875,32.8248176574707,20.0
395441,231605580.369926,8994.4716796875,32.90953063964844,20.0
395442,231605600.36973077,9052.3974609375,32.96500778198242,20.0
395443,231605620.36953303,9036.4375,32.969356536865234,20.0
