time,flux,flux_err,quality,crArr,flux_with_flares,flareArr
2513.2054077099574,88251.21875,72.12178039550781,32768.0,0.0,1.8150462889635228,0.0
2513.205639209498,88433.6171875,72.18119812011719,32768.0,0.0,1.876089859976818,0.0
2513.205870709038,88373.4921875,72.17326354980469,32768.0,0.0,1.8559659086327485,0.0
2513.206102208811,88405.859375,72.15390014648438,32768.0,0.0,1.866797157046489,0.0
2513.206333708351,88725.7578125,72.2965316772461,32832.0,1.0,1.9738590717678903,0.0
2513.206565207891,88308.4609375,72.10662078857422,32768.0,0.0,1.8341972133475628,0.0
2513.2067967074313,88395.4453125,72.15908813476562,32768.0,0.0,1.8633076875397658,0.0
2513.2070282069717,88169.1015625,72.07605743408203,32768.0,0.0,1.787553848990571,0.0
2513.2072597067445,88288.90625,72.13896179199219,32768.0,0.0,1.8276485904194484,0.0
2513.2074912062844,88262.2265625,72.12173461914062,32768.0,0.0,1.818718107261987,0.0
2513.207722705825,88268.4453125,72.1417007446289,32768.0,0.0,1.8207980370269974,0.0
2513.2079542053652,88335.0625,72.15441131591797,32768.0,0.0,1.843092042691659,0.0
2513.208185704905,88304.3359375,72.13676452636719,32768.0,0.0,1.8328071629465799,0.0
2513.208417204678,88185.2578125,72.0879898071289,32768.0,0.0,1.792952900523498,0.0
2513.2086487042184,88471.78125,72.1798324584961,32768.0,0.0,1.8888448396790491,0.0
2513.208880203759,88311.9140625,72.12921142578125,32768.0,0.0,1.8353393550091113,0.0
2513.2091117032987,88442.7109375,72.16655731201172,32768.0,0.0,1.8791129265039075,0.0
2513.2093432030715,88360.5546875,72.13655090332031,32768.0,0.0,1.8516156423680035,0.0
2513.209574702612,88262.0703125,72.10047149658203,32768.0,0.0,1.8186536919407248,0.0
2513.2098062021523,88378.6171875,72.13275146484375,32768.0,0.0,1.8576580892847891,0.0
2513.2100377016923,88299.5,72.1184310913086,32768.0,0.0,1.8311779289512087,0.0
2513.210269201232,88388.078125,72.14825439453125,32768.0,0.0,1.8608217834281415,0.0
2513.210500701006,88362.3125,72.1436996459961,32768.0,0.0,1.8521972481215767,0.0
2513.2107322005468,88448.546875,72.16499328613281,32768.0,0.0,1.8810566962426878,0.0
2513.210963700087,88328.7109375,72.12071990966797,32768.0,0.0,1.840948866067234,0.0
2513.2111951996276,88454.0546875,72.17056274414062,32768.0,0.0,1.882897373819784,0.0
2513.2114266991675,88455.4296875,72.17304229736328,32768.0,0.0,1.8833562250133722,0.0
2513.2116581989403,88273.890625,72.11677551269531,32768.0,0.0,1.8225977159203945,0.0
2513.2118896984807,88380.078125,72.16310119628906,32768.0,0.0,1.8581350390572275,0.0
2513.2121211980216,88368.7578125,72.14222717285156,32768.0,0.0,1.8543450532769854,0.0
2513.2123526975624,88363.4609375,72.1434097290039,32768.0,0.0,1.8525709830463593,0.0
2513.2125841973357,88248.140625,72.09320831298828,32768.0,0.0,1.8139744747572721,0.0
2513.2128156968756,88246.6875,72.09637451171875,32768.0,0.0,1.813486831103704,0.0
2513.2130471964156,88390.3125,72.14264678955078,32768.0,0.0,1.8615536583715508,0.0
2513.213278695956,88356.109375,72.13158416748047,32768.0,0.0,1.8501053076806482,0.0
2513.2135101954964,88318.984375,72.115234375,32768.0,0.0,1.8376790735031503,0.0
2513.213741695269,88466.3671875,72.15852355957031,32768.0,0.0,1.8870035477431009,0.0
2513.213973194809,88230.65625,72.09113311767578,32768.0,0.0,1.808114979077181,0.0
2513.2142046943495,88413.984375,72.15601348876953,32768.0,0.0,1.869469553343568,0.0
2513.21443619389,88380.1953125,72.13294982910156,32768.0,0.0,1.858159793545906,0.0
2513.21466769343,88434.28125,72.15855407714844,32768.0,0.0,1.8762598554346344,0.0
2513.2148991932027,88401.125,72.15718078613281,32768.0,0.0,1.8651618889188901,0.0
2513.215130692743,88337.828125,72.12867736816406,32768.0,0.0,1.8439765278478784,0.0
2513.215362192283,88257.75,72.1126708984375,32768.0,0.0,1.8171748609308302,0.0
2513.2155936918234,88381.8125,72.14557647705078,32768.0,0.0,1.8586945253143354,0.0
2513.2158251913634,88237.078125,72.08148956298828,32768.0,0.0,1.8102538592809063,0.0
2513.216056691136,88396.75,72.1650619506836,32768.0,0.0,1.863691183474225,0.0
2513.2162881906766,88269.578125,72.08818817138672,32768.0,0.0,1.821128305661887,0.0
2513.216519690217,88322.5390625,72.1113052368164,32768.0,0.0,1.8388518593947187,0.0
2513.216751189757,88264.8828125,72.10285186767578,32768.0,0.0,1.8195543173171105,0.0
2513.216982689297,88451.3984375,72.16226959228516,32768.0,0.0,1.8819756290614222,0.0
2513.21721418907,88353.328125,72.13529968261719,32768.0,0.0,1.849152411263248,0.0
2513.2174456886105,88238.1640625,72.06427001953125,32768.0,0.0,1.8106083075947188,0.0
2513.2176771881504,88322.7578125,72.12274169921875,32768.0,0.0,1.8389186527134025,0.0
2513.2179086876904,88161.7890625,72.0784683227539,32768.0,0.0,1.7850447647585006,0.0
2513.2181401874636,88319.6015625,72.13682556152344,32768.0,0.0,1.8378597723616623,0.0
2513.218371687004,88431.1015625,72.16997528076172,32768.0,0.0,1.8751750258397801,0.0
2513.218603186544,88285.3984375,72.10357666015625,32768.0,0.0,1.8264102134327456,0.0
2513.218834686084,88332.2578125,72.11934661865234,32768.0,0.0,1.8420917133985795,0.0
2513.2190661856243,88273.625,72.09860229492188,32768.0,0.0,1.822467372664688,0.0
2513.2192976853976,88251.1796875,72.11458587646484,32768.0,0.0,1.8149541706100716,0.0
2513.2195291849375,88387.375,72.163818359375,32832.0,1.0,1.860534376747877,0.0
