time,flux,flux_err,quality,crArr,flux_with_flares,flareArr
2272.012291902054,80906.0,67.416748046875,0.0,0.0,0.8494282130247788,0.0
2272.0125233852964,80907.5,67.41514587402344,0.0,0.0,0.8499625216641968,0.0
2272.0127548686555,80764.765625,67.3558120727539,0.0,0.0,0.8012473785576136,0.0
2272.0129863520147,80748.90625,67.34884643554688,0.0,0.0,0.7958542369713242,0.0
2272.013217835257,80909.21875,67.43535614013672,0.0,0.0,0.8506157252747091,0.0
2272.013449318615,80800.2734375,67.37918853759766,0.0,0.0,0.8134379754425771,0.0
2272.013680801857,80802.0546875,67.38211822509766,0.0,0.0,0.8140682741970324,0.0
2272.0139122852156,80794.171875,67.38109588623047,0.0,0.0,0.8113987287824018,0.0
2272.0141437685743,80810.5703125,67.37162017822266,0.0,0.0,0.8170201110284425,0.0
2272.014375251816,80954.609375,67.41926574707031,0.0,0.0,0.8662249206887762,0.0
2272.0146067351743,80928.796875,67.42234802246094,1024.0,0.0,0.8574331805630702,0.0
2272.014838218533,80755.21875,67.34807586669922,0.0,0.0,0.7981862282684744,0.0
2272.0150697017752,80661.6171875,67.31663513183594,0.0,0.0,0.7662476057964631,0.0
2272.0153011851335,80908.09375,67.40847778320312,0.0,0.0,0.8504301018869468,0.0
2272.0155326683753,81132.078125,67.50894165039062,0.0,0.0,0.9269325357395849,0.0
2272.0157641517335,80756.0078125,67.3606185913086,0.0,0.0,0.7985437265165009,0.0
2272.015995635092,80851.59375,67.4054946899414,0.0,0.0,0.8312039482468949,0.0
2272.0162271183344,80806.453125,67.38048553466797,0.0,0.0,0.8158124757321001,0.0
2272.0164586016926,80717.9921875,67.35295104980469,0.0,0.0,0.7856290888212868,0.0
2272.0166900849345,80772.4296875,67.38265991210938,0.0,0.0,0.8042389745270688,0.0
2272.016921568293,80933.3203125,67.39826965332031,0.0,0.0,0.8591977253594413,0.0
2272.017153051652,80799.765625,67.376953125,0.0,0.0,0.813616858653083,0.0
2272.0173845348936,80830.109375,67.37386322021484,0.0,0.0,0.8239998042058838,0.0
2272.017616018252,80726.1015625,67.35150146484375,0.0,0.0,0.7885078265098003,0.0
2272.017847501494,80769.3828125,67.36851501464844,0.0,0.0,0.8033083190916916,0.0
2272.0180789848528,80735.4296875,67.35660552978516,0.0,0.0,0.7917367959001085,0.0
2272.018310468211,80816.484375,67.38874053955078,0.0,0.0,0.819435172406202,0.0
2272.018541951453,80761.6015625,67.36180877685547,0.0,0.0,0.8007171005299664,0.0
2272.0187734348115,80791.3359375,67.36978912353516,0.0,0.0,0.8108919197490246,0.0
2272.01900491817,80871.109375,67.3967514038086,0.0,0.0,0.8381527816856259,0.0
2272.019236401412,80916.9296875,67.41401672363281,1024.0,0.0,0.8538201954055712,0.0
2272.01946788477,80952.0859375,67.42340850830078,0.0,0.0,0.8658463107340881,0.0
2272.019699368013,80670.8203125,67.33071899414062,0.0,0.0,0.7698288174990675,0.0
2272.019930851372,80998.3671875,67.46099090576172,0.0,0.0,0.8816929422917507,0.0
2272.0201623347307,80796.8984375,67.38201141357422,0.0,0.0,0.812922415186926,0.0
2272.020393817973,80735.125,67.33863830566406,0.0,0.0,0.791851440079499,0.0
2272.020625301331,80843.3359375,67.38277435302734,0.0,0.0,0.8288223466751556,0.0
2272.020856784573,80950.3046875,67.41482543945312,0.0,0.0,0.8653690943422782,0.0
2272.0210882679316,80830.765625,67.38922882080078,0.0,0.0,0.8245737739453597,0.0
2272.0213197512903,80850.3828125,67.39859008789062,0.0,0.0,0.8312939404045064,0.0
2272.021551234532,81020.6015625,67.45109558105469,0.0,0.0,0.8894376445252073,0.0
2272.0217827178903,80823.59375,67.38619232177734,0.0,0.0,0.8221902627914162,0.0
2272.0220142011326,80721.546875,67.3599624633789,0.0,0.0,0.787367689843268,0.0
2272.0222456844913,80843.3515625,67.4012222290039,0.0,0.0,0.8289801797707596,0.0
2272.0224771678495,80801.3515625,67.35565185546875,0.0,0.0,0.8146608513632343,0.0
2272.0227086510913,80875.9765625,67.40512084960938,0.0,0.0,0.8401636183904543,0.0
2272.02294013445,80806.359375,67.36775970458984,0.0,0.0,0.8164142662456914,0.0
2272.0231716176922,80841.2265625,67.39263153076172,0.0,0.0,0.8283415413375784,0.0
2272.0234031010505,80902.2578125,67.41204833984375,0.0,0.0,0.8492026387016524,0.0
2272.0236345844087,80783.1796875,67.37449645996094,0.0,0.0,0.8085646126624718,0.0
2272.0238660676514,80841.3984375,67.40359497070312,0.0,0.0,0.8284653528203433,0.0
2272.0240975510105,80813.8359375,67.40105438232422,0.0,0.0,0.8190757105244889,0.0
2272.024329034253,80868.4609375,67.3983154296875,0.0,0.0,0.837749332406028,0.0
2272.024560517611,80864.28125,67.38299560546875,0.0,0.0,0.8363438342794813,0.0
2272.0247920009697,80841.9140625,67.39190673828125,0.0,0.0,0.8287281281921746,0.0
2272.0250234842115,80800.1015625,67.36219787597656,0.0,0.0,0.814472728705012,0.0
2272.0252549675697,80930.6953125,67.43141174316406,0.0,0.0,0.8590861707629949,0.0
2272.025486450812,80867.875,67.40694427490234,0.0,0.0,0.8376575472145623,0.0
2272.0257179341706,80804.3359375,67.37675476074219,0.0,0.0,0.8159834950445448,0.0
2272.025949417529,80868.71875,67.40484619140625,0.0,0.0,0.8379889047517743,0.0
2272.0261809007707,80894.1796875,67.41615295410156,0.0,0.0,0.8467042657629912,0.0
2272.0264123841293,80989.046875,67.45418548583984,0.0,0.0,0.8791186787849474,0.0
2272.026643867372,80733.640625,67.3483657836914,0.0,0.0,0.7919307231847538,0.0
